,assay,index,InChICode_standardised,predicted_value_fp,final_value_fp,expected_value_fp,match_fp,predicted_value_cp,final_value_cp,expected_value_cp,match_cp
0,588458,285,"InChI=1S/C15H12N2O3S/c1-20-11-6-8-12(9-7-11)21(18,19)15-10-16-13-4-2-3-5-14(13)17-15/h2-10H,1H3",0.007987213,0,0.0,True,0.31523722,0,0.0,True
1,588458,296,"InChI=1S/C18H18ClN5O5S/c1-29-15-10-11(24(27)28)6-7-14(15)21-18(30)23-22-17(26)9-8-16(25)20-13-5-3-2-4-12(13)19/h2-7,10H,8-9H2,1H3,(H,20,25)(H,22,26)(H2,21,23,30)",0.025166212,0,0.0,True,0.4298818,1,0.0,False
2,588458,117,"InChI=1S/C15H12N4O5S/c20-12-8-4-2-6-10(12)14(22)17-18-15(25)16-13(21)9-5-1-3-7-11(9)19(23)24/h1-8,20H,(H,17,22)(H2,16,18,21,25)",0.16811922,0,0.0,True,0.42533204,1,0.0,False
3,588458,346,"InChI=1S/C27H34N4O3S/c1-17-4-5-20-23(12-17)35-27-25(20)26(28-24(29-27)16-30-8-10-34-11-9-30)31-7-6-18-13-21(32-2)22(33-3)14-19(18)15-31/h13-14,17H,4-12,15-16H2,1-3H3",0.026289742,0,0.0,True,0.5230351,1,0.0,False
4,588458,70,"InChI=1S/C16H13N3O4/c1-23-10-6-7-16(20)12(8-10)14-9-13(17-18-14)11-4-2-3-5-15(11)19(21)22/h2-9,20H,1H3,(H,17,18)",0.05567464,0,1.0,False,0.4787445,1,1.0,True
5,588458,30,"InChI=1S/C33H35NO6/c1-21-9-8-16-34(20-21)29(35)17-25(23-12-14-24(37-2)15-13-23)31-27(38-3)19-28(39-4)32-26(18-30(36)40-33(31)32)22-10-6-5-7-11-22/h5-7,10-15,18-19,21,25H,8-9,16-17,20H2,1-4H3",0.019850409,0,1.0,False,0.45333555,1,1.0,True
6,588458,192,"InChI=1S/C25H35N5/c1-3-29(4-2)22-14-12-21(13-15-22)20-26-25-27-23-10-6-7-11-24(23)30(25)19-18-28-16-8-5-9-17-28/h6-7,10-15H,3-5,8-9,16-20H2,1-2H3,(H,26,27)",0.010089386,0,0.0,True,0.25580043,0,0.0,True
7,588458,79,"InChI=1S/C24H29N3O3/c1-4-5-13-25-22(28)12-14-26-23(29)20-8-6-7-9-21(20)27(24(26)30)16-19-15-17(2)10-11-18(19)3/h6-11,15H,4-5,12-14,16H2,1-3H3,(H,25,28)",0.4334046,1,1.0,True,0.555479,1,1.0,True
8,588458,406,"InChI=1S/C28H25N3O6/c1-19-16-27(32)37-26-17-24(10-11-25(19)26)36-18-20-2-4-21(5-3-20)28(33)30-14-12-29(13-15-30)22-6-8-23(9-7-22)31(34)35/h2-11,16-17H,12-15,18H2,1H3",0.07931458,0,0.0,True,0.44748566,1,0.0,False
9,588458,356,"InChI=1S/C28H44N8O4/c1-21-17-35(22(2)19-37)27(38)6-5-11-36-25(16-29-31-36)20-40-26(21)18-33(4)28(39)30-23-7-9-24(10-8-23)34-14-12-32(3)13-15-34/h7-10,16,21-22,26,37H,5-6,11-15,17-20H2,1-4H3,(H,30,39)/t21-,22+,26-/m1/s1",0.01741309,0,0.0,True,0.47093144,1,0.0,False
10,588458,55,"InChI=1S/C24H25N3O6S/c28-23(25-17-21-9-5-15-32-21)18-33-24(29)19-6-4-10-22(16-19)34(30,31)27-13-11-26(12-14-27)20-7-2-1-3-8-20/h1-10,15-16H,11-14,17-18H2,(H,25,28)",0.044905152,0,1.0,False,0.4562983,1,1.0,True
11,588458,148,"InChI=1S/C12H14N2O2S/c1-9-4-2-3-5-10(9)16-8-11(15)14-12-13-6-7-17-12/h2-5H,6-8H2,1H3,(H,13,14,15)",0.11243666,0,0.0,True,0.45677036,1,0.0,False
12,588458,369,"InChI=1S/C18H20N2O4/c1-4-24-18(23)15-10-14(12(3)20-17(15)22)16(21)19-11(2)13-8-6-5-7-9-13/h5-11H,4H2,1-3H3,(H,19,21)(H,20,22)",0.042900678,0,0.0,True,0.38899207,1,0.0,False
13,588458,312,"InChI=1S/C19H18N2O3/c1-12(2)11-17(22)20-14-9-7-13(8-10-14)18-21-16-6-4-3-5-15(16)19(23)24-18/h3-10,12H,11H2,1-2H3,(H,20,22)",0.75823474,1,0.0,False,0.48781317,1,0.0,False
14,588458,394,"InChI=1S/C22H18N2O7/c1-13(25)30-21-11-16(23-19-7-5-4-6-18(19)21)9-8-15-10-17(29-3)12-20(24(27)28)22(15)31-14(2)26/h4-12H,1-3H3/b9-8+",0.26163504,1,0.0,False,0.4491901,1,0.0,False
15,588458,405,"InChI=1S/C14H17N3O9/c1-6(18)23-5-9-11(24-7(2)19)12(25-8(3)20)13(26-9)17-14(22)16-10(21)4-15-17/h4,9,11-13H,5H2,1-3H3,(H,16,21,22)/t9-,11-,12-,13-/m1/s1",0.3436966,1,0.0,False,0.5701455,1,0.0,False
16,588458,75,"InChI=1S/C14H10N4O3S/c19-13-12(15-14(22)16-13)8-11-2-1-7-17(11)9-3-5-10(6-4-9)18(20)21/h1-8H,(H2,15,16,19,22)/b12-8+",0.24978901,1,1.0,True,0.5421474,1,1.0,True
17,588458,245,"InChI=1S/C18H18FN5O2S/c19-12-3-5-13(6-4-12)24-17-15(9-23-24)18(22-11-21-17)27-10-16(25)20-8-14-2-1-7-26-14/h3-6,9,11,14H,1-2,7-8,10H2,(H,20,25)",0.32505727,1,0.0,False,0.50147814,1,0.0,False
18,588458,304,"InChI=1S/C23H20N4O2S/c28-21(26-23-25-19(14-30-23)15-7-3-1-4-8-15)16-10-11-17-18(13-16)24-20-9-5-2-6-12-27(20)22(17)29/h1,3-4,7-8,10-11,13-14H,2,5-6,9,12H2,(H,25,26,28)",0.24541627,0,0.0,True,0.47741827,1,0.0,False
19,588458,77,"InChI=1S/C17H14N2O4/c1-10-5-3-8-14(18-10)19-16(20)12-9-11-6-4-7-13(22-2)15(11)23-17(12)21/h3-9H,1-2H3,(H,18,19,20)",0.5498298,1,1.0,True,0.47668415,1,1.0,True
20,588458,165,"InChI=1S/C19H10F3NO4/c20-19(21,22)12-4-1-3-11(9-12)15-7-6-13(26-15)10-14-18(24)27-17(23-14)16-5-2-8-25-16/h1-10H/b14-10-",0.56841314,1,0.0,False,0.44113952,1,0.0,False
21,588458,9,InChI=1S/C17H10O/c18-17-14-8-2-1-7-12(14)13-9-3-5-11-6-4-10-15(17)16(11)13/h1-10H,0.4235879,1,1.0,True,0.46259382,1,1.0,True
22,588458,90,"InChI=1S/C22H16Cl2N2O5/c23-14-7-10-19(17(24)11-14)31-12-20(27)25-15-8-5-13(6-9-15)21(28)26-18-4-2-1-3-16(18)22(29)30/h1-11H,12H2,(H,25,27)(H,26,28)(H,29,30)",0.2618527,1,1.0,True,0.53393984,1,1.0,True
